Year,Month,ID,sex,Carapace width (lateral spines) (mm),Carapace length (mm),Carapace width (base) (mm),Maturity,Claw Height (mm),Abdomen width (mm),carapace_width_spines,chela_height,abdomen_width
2020,October,ORNATUS,F,132.57,63.11,107.54,-,22.52,44.55,132.57,22.52,44.55
2020,October,BOCOURTI,F,NA,NA,56,-,NA,NA,NA,NA,NA
2020,October,SIMILIS,F,NA,NA,NA,-,NA,NA,NA,NA,NA
2020,October,SAPIDUS,F,119.27,56.25,97.64,-,18.46,40.1,119.27,18.46,40.1
2020,October,BOCOURTI,F,121,60,77,-,17,44.1,121,17,44.1
2020,October,SAPIDUS,M,116,59.08,83,-,19.8,38.1,116,19.8,38.1
2020,October,SIMILIS,M,117.27,49.97,71,-,15.81,32.42,117.27,15.81,32.42
2020,October,SAPIDUS,M,115,57.67,73.4,-,19.22,35,115,19.22,35
2020,October,BOCOURTI,M,117.2,60.47,84,-,18.73,35.4,117.2,18.73,35.4
2020,October,SIMILIS,M,129.19,56,74.6,-,16.7,35.2,129.19,16.7,35.2
2020,October,BOCOURTI,M,107.2,60.29,77.04,-,18.9,35.02,107.2,18.9,35.02
2020,October,SIMILIS,M,107.53,48,68.21,-,14.88,28.52,107.53,14.88,28.52
2020,October,SIMILIS,M,111,48.5,62.5,-,17,31.3,111,17,31.3
2020,October,BOCOURTI,M,98.47,53,60,-,18,32,98.47,18,32
2020,October,SAPIDUS,M,106,51,67.04,-,19.9,31.45,106,19.9,31.45
2020,October,SIMILIS,M,118,51.4,68,-,17,31.2,118,17,31.2
2020,October,BOCOURTI,M,109.15,56.69,76.32,-,19.33,33.49,109.15,19.33,33.49
2020,October,BOCOURTI,F,NA,NA,NA,-,NA,NA,NA,NA,NA
2020,October,SAPIDUS,F,108,51.2,65,-,17,35.3,108,17,35.3
2020,October,SAPIDUS,F,118.85,55.09,88.19,-,16.77,36.82,118.85,16.77,36.82
2021,April,SIMILIS,F,66.47,31.31,50.89,IM,8.81,21.05,66.47,8.81,21.05
2021,April,SIMILIS,F,78.47,40.45,61.37,IM,8.81,24.8,78.47,8.81,24.8
2021,July,SIMILIS,F,70.08,32.86,54.42,IM,10.3,16.42,70.08,10.3,16.42
2021,July,SAPIDUS,F,106.68,49.99,85.56,IM,13.31,26.67,106.68,13.31,26.67
2021,July,SAPIDUS,F,72.24,35.53,61.1,IM,10.11,19.98,72.24,10.11,19.98
2021,October,SIMILIS,F,72.47,33.01,56.75,IM,8.58,22.53,72.47,8.58,22.53
2021,October,SAPIDUS,M,61.3,27.5,45.5,IM,7.8,19.9,61.3,7.8,19.9
2021,January,BOCOURTI,F,86,46,76,M,14,32,86,14,32
2021,October,BOCOURTI,F,103.37,53.17,85.88,M,13.8,37.87,103.37,13.8,37.87
2021,July,SAPIDUS,F,124.33,56.65,100,M,20.01,41.11,124.33,20.01,41.11
2021,July,BOCOURTI,F,112.64,54.4,91.86,M,15.39,40.86,112.64,15.39,40.86
2020,October,BOCOURTI,F,97.63,48.38,80,m,12.01,36.26,97.63,12.01,36.26
2021,July,ORNATUS,F,100.53,51.17,85.59,M,13.35,31.19,100.53,13.35,31.19
2021,July,ORNATUS,F,100,51.1,84.51,M,13.27,NA,100,13.27,NA
2021,October,BOCOURTI,F,101.55,51.58,84.84,M,16.29,36.94,101.55,16.29,36.94
2021,January,BOCOURTI,F,95.72,51.07,80.1,M,14.07,34.42,95.72,14.07,34.42
2021,October,SAPIDUS,F,113.7,50.5,88.23,M,16.4,37.4,113.7,16.4,37.4
2021,October,BOCOURTI,F,100.05,54.61,86.17,M,16.03,39.16,100.05,16.03,39.16
2021,July,BOCOURTI,F,105.39,52.02,84.57,M,12.75,37.61,105.39,12.75,37.61
2021,July,BOCOURTI,F,100.04,53.35,90.07,M,14.42,32.36,100.04,14.42,32.36
2021,July,ORNATUS,F,104.91,54.3,86.25,M,15.1,38.47,104.91,15.1,38.47
2021,July,BOCOURTI,F,98.89,50,82.31,M,13.34,31.12,98.89,13.34,31.12
2021,January,SAPIDUS,F,136.52,62.37,106.45,M,17.67,45.46,136.52,17.67,45.46
2021,April,ORNATUS,F,103.15,54.21,87.54,M,14.69,37.58,103.15,14.69,37.58
2020,October,BOCOURTI,F,102.46,51.67,84.07,m,14.11,36.3,102.46,14.11,36.3
2021,April,BOCOURTI,F,100.78,60.36,84.68,M,13.33,39.3,100.78,13.33,39.3
2021,October,BOCOURTI,F,100,50.5,83.7,M,NA,35.1,100,NA,35.1
2021,January,SAPIDUS,F,128,66,108,M,20,45,128,20,45
2021,January,SAPIDUS,F,122,59,96,M,18,42,122,18,42
2021,October,SAPIDUS,F,117.5,55.3,94.3,M,17.6,42.2,117.5,17.6,42.2
2021,October,SAPIDUS,F,121.05,58.18,98.62,M,19.88,44.25,121.05,19.88,44.25
