Date,Station,Temperature F,Dissolve oxygen %,Salinity ppt,pH,Depth,cpue.sap,cpue.boc,cpue.sim,cpue.orn,cpue.lar,cpue.exa,Year_Month,temperature_C,lagoon,sq,s1,total_catch
10/16/20,BC,84.2,83,35,7.9,13,2,4,1,0,0,0,2020-10,29,lagoon,2020-10.BC,2020-10.BC,7
10/16/20,IM,86,4,34.5,7.33,7.8,0,0,0,0,0,0,2020-10,30,lagoon,2020-10.IM,2020-10.IM,0
10/19/20,AP,85.1,80,35,7.77,7,12,9,0,1,0,0,2020-10,29.5,lagoon,2020-10.AP,2020-10.AP,22
10/19/20,BC,85.28,80,35.57,7.89,5.1,1,0,1,0,0,0,2020-10,29.6,lagoon,2020-10.BC,2020-10.BC,2
10/19/20,IM,87.62,20,28.2,7.45,3,7,0,0,0,0,0,2020-10,30.9,lagoon,2020-10.IM,2020-10.IM,7
10/21/20,AP,86.54,53,31.14,7.5,6.4,9,5,2,2,0,0,2020-10,30.3,lagoon,2020-10.AP,2020-10.AP,18
10/21/20,BC,85.28,80,35.85,7.9,6,1,0,2,0,2,0,2020-10,29.6,lagoon,2020-10.BC,2020-10.BC,5
10/21/20,DY,87.08,56,33.84,7.82,7,4,1,2,2,0,0,2020-10,30.6,lagoon,2020-10.DY,2020-10.DY,9
10/21/20,IM,86.36,30,28.09,7.81,3,0,3,0,1,0,0,2020-10,30.2,lagoon,2020-10.IM,2020-10.IM,4
1/18/21,AP,80.78,62.8,31.71,7.81,7,3,2,0,0,0,0,2021-01,27.1,lagoon,2021-01.AP,2021-01.AP,5
1/18/21,BC,80.78,83,35.9,7.76,4.9,0,0,0,1,2,1,2021-01,27.1,lagoon,2021-01.BC,2021-01.BC,4
1/18/21,DY,81.14,51,35.37,7.63,13,0,0,0,0,0,0,2021-01,27.3,lagoon,2021-01.DY,2021-01.DY,0
1/18/21,IM,82.76,72.2,30.12,7.78,2,0,4,0,0,0,0,2021-01,28.2,lagoon,2021-01.IM,2021-01.IM,4
1/19/21,AP,81.14,70.6,37.3,7.83,2.5,23,3,0,0,0,0,2021-01,27.3,lagoon,2021-01.AP,2021-01.AP,26
1/19/21,BC,80.24,80,35.41,8.11,4.9,0,0,0,0,0,0,2021-01,26.8,lagoon,2021-01.BC,2021-01.BC,0
1/19/21,DY,81.14,60,28.94,7.88,13,0,1,0,0,0,0,2021-01,27.3,lagoon,2021-01.DY,2021-01.DY,1
1/19/21,IM,81.68,56.5,28.37,7.9,2,0,4,0,0,0,0,2021-01,27.6,lagoon,2021-01.IM,2021-01.IM,4
4/19/21,AP,83.48,76.4,36.48,7.95,2.5,2,6,0,0,0,0,2021-04,28.6,lagoon,2021-04.AP,2021-04.AP,8
4/19/21,BC,82.76,80,36.93,7.96,4.9,0,2,3,0,0,0,2021-04,28.2,lagoon,2021-04.BC,2021-04.BC,5
4/19/21,DY,82.76,75.6,36.41,7.99,13,0,2,0,0,0,0,2021-04,28.2,lagoon,2021-04.DY,2021-04.DY,2
4/19/21,IM,87.62,106.1,30.17,8.01,2,1,2,0,0,0,0,2021-04,30.9,lagoon,2021-04.IM,2021-04.IM,3
4/20/21,AP,81.86,46.6,32.41,7.87,2.5,1,4,2,0,0,0,2021-04,27.7,lagoon,2021-04.AP,2021-04.AP,7
4/20/21,BC,82.22,72.2,32.72,7.82,4.9,0,1,2,0,0,0,2021-04,27.9,lagoon,2021-04.BC,2021-04.BC,3
4/20/21,DY,82.04,67.5,36.68,7.96,13,0,0,0,0,0,0,2021-04,27.8,lagoon,2021-04.DY,2021-04.DY,0
4/20/21,IM,82.58,60.4,29.94,7.86,2,0,2,0,0,0,0,2021-04,28.1,lagoon,2021-04.IM,2021-04.IM,2
4/21/21,AP,81.14,70.6,37.3,7.83,2.5,1,9,2,1,0,0,2021-04,27.3,lagoon,2021-04.AP,2021-04.AP,13
4/21/21,BC,80.78,73.9,35.45,7.64,4.9,0,0,5,1,2,0,2021-04,27.1,lagoon,2021-04.BC,2021-04.BC,8
4/21/21,DY,81.68,72.1,36.66,7.9,13,3,0,0,0,0,1,2021-04,27.6,lagoon,2021-04.DY,2021-04.DY,4
4/21/21,IM,81.68,56.5,28.37,7.9,2,0,2,0,3,0,0,2021-04,27.6,lagoon,2021-04.IM,2021-04.IM,5
7/13/21,AP,83.8,48.8,33.41,7.81,2.5,1,8,3,0,0,0,2021-07,28.77777778,lagoon,2021-07.AP,2021-07.AP,12
7/13/21,BC,82.8,102.5,34.47,8,4.9,0,5,7,0,2,0,2021-07,28.22222222,lagoon,2021-07.BC,2021-07.BC,14
7/13/21,DY,84.9,23,30.39,7.17,13,1,2,0,0,0,0,2021-07,29.38888889,lagoon,2021-07.DY,2021-07.DY,3
7/13/21,IM,86.7,54.6,31.62,7.56,2,0,4,0,0,0,0,2021-07,30.38888889,lagoon,2021-07.IM,2021-07.IM,4
7/14/21,AP,84.4,58.9,33.76,7.87,8,2,0,0,4,0,0,2021-07,29.11111111,lagoon,2021-07.AP,2021-07.AP,6
7/14/21,BC,83.4,85.1,32,7.89,6,1,0,1,0,1,0,2021-07,28.55555556,lagoon,2021-07.BC,2021-07.BC,3
7/14/21,DY,84.7,82.9,33.24,7.84,8.6,0,1,0,3,0,0,2021-07,29.27777778,lagoon,2021-07.DY,2021-07.DY,4
7/14/21,IM,81.5,22.2,29.5,7.15,2.5,0,2,0,0,0,0,2021-07,27.5,lagoon,2021-07.IM,2021-07.IM,2
7/15/21,AP,84.5,50.8,33.32,7.82,9,0,8,0,0,0,0,2021-07,29.16666667,lagoon,2021-07.AP,2021-07.AP,8
7/15/21,BC,83.5,75,32.25,7.85,5,0,0,0,1,0,0,2021-07,28.61111111,lagoon,2021-07.BC,2021-07.BC,1
7/15/21,DY,84.7,47.9,32.14,7.86,12,1,1,0,0,0,0,2021-07,29.27777778,lagoon,2021-07.DY,2021-07.DY,2
7/15/21,IM,81.4,69.4,31.1,7.68,2.1,3,2,0,1,0,0,2021-07,27.44444444,lagoon,2021-07.IM,2021-07.IM,6
10/13/21,AP,85.8,81.2,30.72,7.11,8,3,5,2,2,1,0,2021-10,29.88888889,lagoon,2021-10.AP,2021-10.AP,13
10/13/21,BC,80.1,119,33.08,8.19,5,1,2,2,3,5,1,2021-10,26.72222222,lagoon,2021-10.BC,2021-10.BC,14
10/13/21,DY,86.1,41.1,28.63,7.71,6,0,4,1,0,0,0,2021-10,30.05555556,lagoon,2021-10.DY,2021-10.DY,5
10/13/21,IM,85,13.3,24.9,7.09,2.5,0,0,0,0,0,0,2021-10,29.44444444,lagoon,2021-10.IM,2021-10.IM,0
10/14/21,AP,86.1,35.4,29.5,7.78,1.88,8,5,0,5,1,0,2021-10,30.05555556,lagoon,2021-10.AP,2021-10.AP,19
10/14/21,BC,86,95.6,31.8,8.12,1.82,1,0,0,2,1,0,2021-10,30,lagoon,2021-10.BC,2021-10.BC,4
10/14/21,DY,86.3,38,31.82,7.87,2.41,4,6,0,0,0,0,2021-10,30.16666667,lagoon,2021-10.DY,2021-10.DY,10
