Date,Month,Year,Station,Gear,Effort,Count,ID,sex,shell,Condition,weight (g),Carapace width (base) (mm),Carapace width (lateral spines) (mm),Carapace length (mm),Abdomen width (mm),Claw length (mm),Claw Height (mm),Maturity,eggs (Y/N) (L/M/S),egg color,Spong_col,Overy weight (g),Overy color,Ova_dev,GSI,Embyro_day,ovigerous,Year_month
10/15/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,OK,NA,79,94.4,48.9,30.1,42.8,12.5,M,Y,ORANGE,1,0.46,PALE ORANGE,2,NA,3,ovigerous,2021-10
4/19/21,April,2021,AP,Trap,5,1,SAPIDUS,F,H,"R1,R2",83.02,89.93,108.56,62.17,39.91,46.71,16.75,M,M,ORANGE,1,2.97,LIGHT ORANGE,2,3.577451217,3,ovigerous,2021-04
4/19/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,"R1,R2",62.07,74.18,85.14,47.75,33.2,39.44,12.16,M,L,ORANGE,1,1.33,LIGHT ORANGE,2,2.142742065,3,ovigerous,2021-04
10/14/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,NA,49,73.8,91.2,46.3,30.9,32.4,11.3,M,Y,ORANGE,1,0.8,BEIGE,1,1.632653061,3,ovigerous,2021-10
10/14/21,October,2021,DY,Trap,5,1,SAPIDUS,F,NA,OK,68.49,84.69,103.15,48.84,37.18,41.13,10.44,M,Y/M,ORANGE,1,0.98,ORANGE,3,1.43086582,3,ovigerous,2021-10
10/20/20,October,2020,IM,Trap,5,1,SAPIDUS,F,hard,OK,89,66,111,53,"38,2",47,17,m,embryo stage,ORANGE,1,1,LIGHT ORANGE,2,1.123595506,3,ovigerous,2020-10
10/14/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,OK,80.13,84.52,107.23,48.88,35.72,45.62,19.39,M,Y/L,ORANGE,1,0.89,ORANGE,3,1.11069512,3,ovigerous,2021-10
4/20/21,April,2021,BC,Trap,5,1,SIMILIS,F,NA,OK,54.18,72.69,96.33,46.7,27.83,34.56,8.67,M,L,ORANGE,1,0.57,LIGHT ORANGE,2,1.052048726,3,ovigerous,2021-04
7/13/21,July,2021,BC,Trap,5,1,SIMILIS,F,H,R4,47.52,75.49,94.38,43.28,30.05,41.1,11.22,M,S,ORANGE,1,0.36,BEIGE,1,0.757575758,3,ovigerous,2021-07
7/13/21,July,2021,BC,Trap,5,1,SIMILIS,F,H,L5,71.09,76.7,99.9,45.5,33.35,45.6,15.59,M,S,ORANGE,1,0.48,LIGHT ORANGE,2,0.67520045,3,ovigerous,2021-07
