Date,Station,ID,Males,Females,Sex_Ratio,sr2,Year_Month,Station_num,x
10/17/20,BC,C. bocourti,1,2,0.5,0.333333333,2020-10,Station 1,C. bocourti
10/17/20,BC,C. sapidus,1,1,1,0.5,2020-10,Station 1,C. sapidus
10/17/20,BC,C. similis,1,0,NA,1,2020-10,Station 1,C. similis
10/20/20,AP,C. bocourti,0,9,0,0,2020-10,Station 2,C. bocourti
10/20/20,AP,C. ornatus,0,1,0,0,2020-10,Station 2,C. ornatus
10/20/20,AP,C. sapidus,1,11,0.090909091,0.083333333,2020-10,Station 2,C. sapidus
10/20/20,BC,C. bocourti,1,0,NA,1,2020-10,Station 1,C. bocourti
10/20/20,BC,C. sapidus,0,1,0,0,2020-10,Station 1,C. sapidus
10/20/20,BC,C. similis,1,1,1,0.5,2020-10,Station 1,C. similis
10/20/20,DY,C. bocourti,2,1,2,0.666666667,2020-10,Station 3,C. bocourti
10/20/20,DY,C. ornatus,0,2,0,0,2020-10,Station 3,C. ornatus
10/20/20,DY,C. sapidus,1,1,1,0.5,2020-10,Station 3,C. sapidus
10/20/20,DY,C. similis,4,0,NA,1,2020-10,Station 3,C. similis
10/20/20,IM,C. bocourti,0,3,0,0,2020-10,Station 4,C. bocourti
10/20/20,IM,C. ornatus,0,1,0,0,2020-10,Station 4,C. ornatus
10/20/20,IM,C. sapidus,0,3,0,0,2020-10,Station 4,C. sapidus
10/21/20,AP,C. bocourti,0,5,0,0,2020-10,Station 2,C. bocourti
10/21/20,AP,C. ornatus,0,2,0,0,2020-10,Station 2,C. ornatus
10/21/20,AP,C. sapidus,1,8,0.125,0.111111111,2020-10,Station 2,C. sapidus
10/21/20,AP,C. similis,1,1,1,0.5,2020-10,Station 2,C. similis
10/21/20,BC,C. sapidus,0,1,0,0,2020-10,Station 1,C. sapidus
10/21/20,BC,C. similis,2,0,NA,1,2020-10,Station 1,C. similis
10/21/20,DY,C. bocourti,0,1,0,0,2020-10,Station 3,C. bocourti
10/21/20,DY,C. ornatus,0,2,0,0,2020-10,Station 3,C. ornatus
10/21/20,DY,C. sapidus,0,4,0,0,2020-10,Station 3,C. sapidus
10/21/20,DY,C. similis,0,2,0,0,2020-10,Station 3,C. similis
10/21/20,IM,C. bocourti,2,1,2,0.666666667,2020-10,Station 4,C. bocourti
10/21/20,IM,C. ornatus,1,0,NA,1,2020-10,Station 4,C. ornatus
1/19/21,AP,C. bocourti,0,2,0,0,2021-01,Station 2,C. bocourti
1/19/21,AP,C. sapidus,0,2,0,0,2021-01,Station 2,C. sapidus
1/19/21,BC,C. ornatus,0,1,0,0,2021-01,Station 1,C. ornatus
1/19/21,IM,C. bocourti,3,1,3,0.75,2021-01,Station 4,C. bocourti
1/20/21,AP,C. bocourti,0,3,0,0,2021-01,Station 2,C. bocourti
1/20/21,AP,C. sapidus,1,22,0.045454545,0.043478261,2021-01,Station 2,C. sapidus
1/20/21,DY,C. bocourti,0,1,0,0,2021-01,Station 3,C. bocourti
1/20/21,IM,C. bocourti,2,0,NA,1,2021-01,Station 4,C. bocourti
4/19/21,AP,C. bocourti,0,6,0,0,2021-04,Station 2,C. bocourti
4/19/21,AP,C. sapidus,1,1,1,0.5,2021-04,Station 2,C. sapidus
4/19/21,BC,C. bocourti,0,2,0,0,2021-04,Station 1,C. bocourti
4/19/21,BC,C. similis,0,3,0,0,2021-04,Station 1,C. similis
4/19/21,DY,C. bocourti,1,1,1,0.5,2021-04,Station 3,C. bocourti
4/19/21,IM,C. bocourti,1,1,1,0.5,2021-04,Station 4,C. bocourti
4/19/21,IM,C. sapidus,1,0,NA,1,2021-04,Station 4,C. sapidus
4/20/21,AP,C. bocourti,1,3,0.333333333,0.25,2021-04,Station 2,C. bocourti
4/20/21,AP,C. sapidus,0,1,0,0,2021-04,Station 2,C. sapidus
4/20/21,AP,C. similis,0,2,0,0,2021-04,Station 2,C. similis
4/20/21,BC,C. bocourti,0,1,0,0,2021-04,Station 1,C. bocourti
4/20/21,BC,C. similis,0,2,0,0,2021-04,Station 1,C. similis
4/20/21,IM,C. bocourti,1,1,1,0.5,2021-04,Station 4,C. bocourti
4/21/21,AP,C. bocourti,0,9,0,0,2021-04,Station 2,C. bocourti
4/21/21,AP,C. ornatus,0,1,0,0,2021-04,Station 2,C. ornatus
4/21/21,AP,C. sapidus,0,1,0,0,2021-04,Station 2,C. sapidus
4/21/21,AP,C. similis,1,1,1,0.5,2021-04,Station 2,C. similis
4/21/21,BC,C. ornatus,0,1,0,0,2021-04,Station 1,C. ornatus
4/21/21,BC,C. similis,1,4,0.25,0.2,2021-04,Station 1,C. similis
4/21/21,DY,C. sapidus,2,1,2,0.666666667,2021-04,Station 3,C. sapidus
4/21/21,IM,C. bocourti,2,0,NA,1,2021-04,Station 4,C. bocourti
4/21/21,IM,C. ornatus,1,2,0.5,0.333333333,2021-04,Station 4,C. ornatus
7/13/21,AP,C. bocourti,0,8,0,0,2021-07,Station 2,C. bocourti
7/13/21,AP,C. sapidus,0,1,0,0,2021-07,Station 2,C. sapidus
7/13/21,AP,C. similis,1,2,0.5,0.333333333,2021-07,Station 2,C. similis
7/13/21,BC,C. bocourti,0,5,0,0,2021-07,Station 1,C. bocourti
7/13/21,BC,C. similis,1,6,0.166666667,0.142857143,2021-07,Station 1,C. similis
7/13/21,DY,C. bocourti,1,1,1,0.5,2021-07,Station 3,C. bocourti
7/13/21,DY,C. sapidus,0,1,0,0,2021-07,Station 3,C. sapidus
7/13/21,IM,C. bocourti,1,3,0.333333333,0.25,2021-07,Station 4,C. bocourti
7/14/21,AP,C. ornatus,0,4,0,0,2021-07,Station 2,C. ornatus
7/14/21,AP,C. sapidus,0,2,0,0,2021-07,Station 2,C. sapidus
7/14/21,BC,C. sapidus,0,1,0,0,2021-07,Station 1,C. sapidus
7/14/21,BC,C. similis,0,1,0,0,2021-07,Station 1,C. similis
7/14/21,DY,C. bocourti,1,0,NA,1,2021-07,Station 3,C. bocourti
7/14/21,DY,C. ornatus,0,3,0,0,2021-07,Station 3,C. ornatus
7/14/21,IM,C. bocourti,1,1,1,0.5,2021-07,Station 4,C. bocourti
7/15/21,AP,C. bocourti,0,8,0,0,2021-07,Station 2,C. bocourti
7/15/21,BC,C. ornatus,0,1,0,0,2021-07,Station 1,C. ornatus
7/15/21,DY,C. bocourti,0,1,0,0,2021-07,Station 3,C. bocourti
7/15/21,DY,C. sapidus,0,1,0,0,2021-07,Station 3,C. sapidus
7/15/21,IM,C. bocourti,2,0,NA,1,2021-07,Station 4,C. bocourti
7/15/21,IM,C. ornatus,0,1,0,0,2021-07,Station 4,C. ornatus
7/15/21,IM,C. sapidus,2,1,2,0.666666667,2021-07,Station 4,C. sapidus
10/13/21,AP,C. bocourti,0,5,0,0,2021-10,Station 2,C. bocourti
10/13/21,AP,C. ornatus,0,2,0,0,2021-10,Station 2,C. ornatus
10/13/21,AP,C. sapidus,1,2,0.5,0.333333333,2021-10,Station 2,C. sapidus
10/13/21,AP,C. similis,1,1,1,0.5,2021-10,Station 2,C. similis
10/13/21,BC,C. bocourti,0,2,0,0,2021-10,Station 1,C. bocourti
10/13/21,BC,C. ornatus,0,3,0,0,2021-10,Station 1,C. ornatus
10/13/21,BC,C. sapidus,0,1,0,0,2021-10,Station 1,C. sapidus
10/13/21,BC,C. similis,0,2,0,0,2021-10,Station 1,C. similis
10/13/21,DY,C. bocourti,0,4,0,0,2021-10,Station 3,C. bocourti
10/13/21,DY,C. similis,1,0,NA,1,2021-10,Station 3,C. similis
10/14/21,AP,C. bocourti,0,5,0,0,2021-10,Station 2,C. bocourti
10/14/21,AP,C. ornatus,0,5,0,0,2021-10,Station 2,C. ornatus
10/14/21,AP,C. sapidus,0,8,0,0,2021-10,Station 2,C. sapidus
10/14/21,BC,C. ornatus,0,2,0,0,2021-10,Station 1,C. ornatus
10/14/21,BC,C. sapidus,0,1,0,0,2021-10,Station 1,C. sapidus
10/14/21,DY,C. bocourti,1,5,0.2,0.166666667,2021-10,Station 3,C. bocourti
10/14/21,DY,C. sapidus,2,2,1,0.5,2021-10,Station 3,C. sapidus
10/15/21,AP,C. bocourti,0,3,0,0,2021-10,Station 2,C. bocourti
10/15/21,AP,C. ornatus,0,3,0,0,2021-10,Station 2,C. ornatus
10/15/21,AP,C. sapidus,0,1,0,0,2021-10,Station 2,C. sapidus
10/15/21,AP,C. similis,2,2,1,0.5,2021-10,Station 2,C. similis
10/15/21,BC,C. ornatus,0,1,0,0,2021-10,Station 1,C. ornatus
