"Date","Station","Year_Month","ID","sex","weight (g)","Carapace width (base) (mm)","Carapace width (lateral spines) (mm)","Carapace length (mm)","Maturity","Ovigerous"
"1/20/21","AP","2021-01","BOCOURTI","F",56.65,76,86,46,"M",0
"10/13/21","DY","2021-10","BOCOURTI","F",73.75,85.88,103.37,53.17,"M",0
"7/13/21","DY","2021-07","SAPIDUS","F",101.22,100,124.33,56.65,"M",0
"7/15/21","AP","2021-07","BOCOURTI","F",81.08,91.86,112.64,54.4,"M",0
"10/21/20","AP","2020-10","BOCOURTI","F",54.13,80,97.63,48.38,"m",0
"7/14/21","AP","2021-07","ORNATUS","F",74.38,85.59,100.53,51.17,"M",0
"7/14/21","AP","2021-07","ORNATUS","F",73.28,84.51,100,51.1,"M",0
"10/14/21","DY","2021-10","BOCOURTI","F",73.89,84.84,101.55,51.58,"M",0
"1/20/21","AP","2021-01","BOCOURTI","F",69,80.1,95.72,51.07,"M",0
"10/13/21","BC","2021-10","SAPIDUS","F",73.26,88.23,113.7,50.5,"M",0
"10/13/21","AP","2021-10","BOCOURTI","F",76.05,86.17,100.05,54.61,"M",0
"7/13/21","AP","2021-07","BOCOURTI","F",72.74,84.57,105.39,52.02,"M",0
"7/15/21","AP","2021-07","BOCOURTI","F",87.98,90.07,100.04,53.35,"M",0
"7/14/21","AP","2021-07","ORNATUS","F",84.9,86.25,104.91,54.3,"M",0
"7/15/21","AP","2021-07","BOCOURTI","F",73.26,82.31,98.89,50,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",129,106.45,136.52,62.37,"M",0
"4/21/21","AP","2021-04","ORNATUS","F",78.91,87.54,103.15,54.21,"M",0
"10/21/20","AP","2020-10","BOCOURTI","F",74.23,84.07,102.46,51.67,"m",0
"4/20/21","AP","2021-04","BOCOURTI","F",73.45,84.68,100.78,60.36,"M",0
"10/13/21","DY","2021-10","BOCOURTI","F",63.6,83.7,100,50.5,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",130.35,108,128,66,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",104.2,96,122,59,"M",0
"10/14/21","DY","2021-10","SAPIDUS","F",96.4,94.3,117.5,55.3,"M",0
"10/14/21","AP","2021-10","SAPIDUS","F",110.5,98.62,121.05,58.18,"M",0
"7/13/21","AP","2021-07","BOCOURTI","F",75.32,80.41,91.86,48.17,"M",0
"7/15/21","AP","2021-07","BOCOURTI","F",62.16,78.9,93.37,48.86,"M",0
"4/20/21","AP","2021-04","BOCOURTI","F",60.52,80.72,88.79,57.58,"M",0
"10/13/21","AP","2021-10","SAPIDUS","F",117.6,100.4,123.3,58.9,"M",0
"10/13/21","BC","2021-10","SIMILIS","F",44.56,73.31,88.33,42.25,"M",0
"4/20/21","AP","2021-04","BOCOURTI","F",69.23,79.25,89.63,48,"M",0
"7/13/21","AP","2021-07","BOCOURTI","F",98.53,86.53,100.93,54.31,"M",0
"4/21/21","AP","2021-04","BOCOURTI","F",92,85.08,96.9,52.94,"M",0
"7/13/21","BC","2021-07","BOCOURTI","F",82.39,83.3,95.43,50.05,"M",0
"10/14/21","BC","2021-10","ORNATUS","F",41.02,73.14,91,41.91,"M",0
"7/15/21","AP","2021-07","BOCOURTI","F",85.52,89.3,110.15,54.02,"M",0
"7/13/21","AP","2021-07","SIMILIS","F",32.07,65.53,82.25,33.75,"M",0
"7/13/21","BC","2021-07","BOCOURTI","F",102.92,95.87,114.5,56.35,"M",0
"7/13/21","BC","2021-07","SIMILIS","F",49.63,79.25,102.16,46.95,"M",0
"10/13/21","BC","2021-10","ORNATUS","F",46.2,75.5,103.2,45.5,"M",0
"7/14/21","AP","2021-07","SAPIDUS","F",86.19,93.37,118.84,52.3,"M",0
"10/15/21","AP","2021-10","ORNATUS","F",37.1,67.4,86.1,39.1,NA,0
"4/21/21","AP","2021-04","BOCOURTI","F",70.45,79.2,93.02,53.8,"M",0
"10/15/21","AP","2021-10","ORNATUS","F",54.99,78.48,100.8,46.34,NA,0
"4/21/21","AP","2021-04","BOCOURTI","F",83.54,83.18,94.25,51.44,"M",0
"7/13/21","BC","2021-07","BOCOURTI","F",71.4,84.21,95.61,51.91,"M",0
"10/15/21","AP","2021-10","BOCOURTI","F",76.1,86.8,105.5,53.1,NA,0
"7/15/21","AP","2021-07","BOCOURTI","F",89.29,90.05,111.12,54.46,"M",0
